序号,uid,昵称,类型
num,uid,nick,score
14,753221725,星诉偶遇男神,2
15,753221700,理想女友 新厅开业,2
16,753221671,来时雾慢,2
17,753221636,x,2
18,753221613,苏我过几天再,2
19,753221528,今夜不十三,2
20,753221507,好好,2
21,753221506,的,2
22,753221502,军军,2
23,753221496,啊啊,2
24,753221492,朱友健,2
25,753221489,澜季男友❤新厅开业.全麦优质,2
26,753221440,六六鸭,2
27,753221439,。。,2
28,753221438,分,2
29,753221425,蔷薇,2
30,753221415,formosa,2
31,753221404,业务三厅,2
32,753221383,儒间,2
33,753221380,L,2
34,753221359,mmmm,2
35,753221313,光辉男神/新厅开业,2
36,753221295,饭,2
37,753221241,LAIYUHAN,2
38,753221230,刘锦,2
39,753221226,仙女阿姨,2
40,753221192,൮ღ野蛮女友,2
41,753221170,小燕唯一的守护神,2
42,753221163,宠物店,2
43,753221159,靓仔,2
44,753221083,陌冥,2
45,753221074,hh,2
46,753221072,那一砖的风情,2
47,753221066,宁愿把你宠坏,2
48,753221053,.,2
49,753221044,就到家6161,2
50,753221043,橙子,2
1,753221039,希莫斯,2
2,753221031,小幸运377,2
3,753221010,哦SOD就,2
4,753220983,575886,2
5,753220970,156266,2
6,753220963,guako,2
7,753220959,菇娘傻傻哒,2
8,753220954,gg,2
9,753220938,哈哈哈,2
